"store_code","sales_value","cogs","total_expenses","marketing_expenses","inventory_value","exp_profit","product_id","sale_date"
"203","292","116","69","38","962","110","2","04/01/10 00:00:00"
"203","225","90","60","29","1148","90","2","07/01/10 00:00:00"
"203","325","130","73","42","1134","130","2","11/01/10 00:00:00"
"203","289","115","69","37","1166","110","2","12/01/10 00:00:00"
"203","223","90","56","29","1148","90","2","07/01/11 00:00:00"
"203","223","90","56","29","1139","90","2","08/01/11 00:00:00"
"203","275","103","64","33","1130","110","2","09/01/11 00:00:00"
"203","334","125","73","41","1119","130","2","10/01/11 00:00:00"
"203","346","130","73","42","1134","130","2","11/01/11 00:00:00"
"203","51","20","16","5","804","20","13","06/01/10 00:00:00"
"203","90","36","21","10","809","40","13","11/01/10 00:00:00"
"203","47","19","15","5","811","20","13","08/01/11 00:00:00"
"203","64","24","18","6","806","40","13","10/01/11 00:00:00"
"203","96","36","21","10","809","40","13","11/01/11 00:00:00"
"203","128","53","77","48","597","10","5","06/01/10 00:00:00"
"203","144","60","83","54","606","40","5","10/01/10 00:00:00"
"203","147","61","84","55","613","10","5","11/01/10 00:00:00"
"203","201","75","103","68","522","20","5","01/01/11 00:00:00"
"203","165","65","87","58","513","20","5","02/01/11 00:00:00"
"203","160","63","87","57","506","10","5","03/01/11 00:00:00"
"203","160","63","87","57","521","10","5","04/01/11 00:00:00"
"203","153","64","81","58","551","20","5","05/01/11 00:00:00"
"203","159","62","85","56","612","20","5","09/01/11 00:00:00"
"203","140","55","78","49","627","10","5","12/01/11 00:00:00"
"203","130","55","46","18","305","40","6","02/01/10 00:00:00"
"203","113","48","43","15","334","40","6","05/01/10 00:00:00"
"203","100","43","41","14","388","20","6","07/01/10 00:00:00"
"203","98","42","40","13","384","20","6","08/01/10 00:00:00"
"203","145","55","47","18","312","40","6","01/01/11 00:00:00"
"203","132","53","45","17","299","40","6","03/01/11 00:00:00"
"203","97","42","37","13","384","20","6","08/01/11 00:00:00"
"203","118","47","43","15","375","50","6","10/01/11 00:00:00"
"203","132","53","45","17","380","40","6","11/01/11 00:00:00"
"203","121","49","44","16","392","40","6","12/01/11 00:00:00"
"203","189","85","65","32","476","40","9","03/01/10 00:00:00"
"203","169","76","61","28","580","40","9","06/01/10 00:00:00"
"203","190","80","64","30","494","30","9","04/01/11 00:00:00"
"203","160","67","59","25","599","20","9","09/01/11 00:00:00"
"203","189","79","64","30","593","30","9","10/01/11 00:00:00"
"203","163","74","43","22","949","50","10","03/01/10 00:00:00"
"203","176","75","44","23","956","50","10","02/01/11 00:00:00"
"203","147","68","39","21","998","40","10","05/01/11 00:00:00"
"203","145","62","41","19","1059","40","10","09/01/11 00:00:00"
"203","151","65","42","20","1053","50","10","10/01/11 00:00:00"
"203","148","63","40","19","1075","40","10","12/01/11 00:00:00"
"203","115","47","25","13","821","60","11","04/01/10 00:00:00"
"203","87","35","20","9","894","50","11","07/01/10 00:00:00"
"203","83","34","21","9","890","40","11","08/01/10 00:00:00"
"203","108","44","23","12","886","50","11","09/01/10 00:00:00"
"203","91","37","20","10","876","40","11","06/01/11 00:00:00"
"206","130","53","39","16","338","70","2","01/01/10 00:00:00"
"206","150","61","41","19","325","80","2","03/01/10 00:00:00"
"206","167","68","43","21","438","110","2","10/01/10 00:00:00"
"206","145","53","41","16","338","70","2","01/01/11 00:00:00"
"206","180","69","46","22","340","90","2","04/01/11 00:00:00"
"206","191","79","45","25","425","110","2","06/01/11 00:00:00"
"206","220","92","113","83","541","60","3","02/01/10 00:00:00"
"206","227","95","116","86","532","70","3","03/01/10 00:00:00"
"206","227","95","115","86","554","70","3","04/01/10 00:00:00"
"206","264","110","130","100","665","90","3","06/01/10 00:00:00"
"206","317","133","150","120","705","100","3","08/01/10 00:00:00"
"206","242","95","116","86","532","70","3","03/01/11 00:00:00"
"206","262","110","121","100","665","90","3","06/01/11 00:00:00"
"206","294","124","132","112","717","100","3","07/01/11 00:00:00"
"206","238","93","114","84","692","60","3","09/01/11 00:00:00"
"206","245","96","117","87","683","100","3","10/01/11 00:00:00"
"206","266","105","125","95","716","50","3","12/01/11 00:00:00"
"206","150","63","87","57","506","10","13","03/01/10 00:00:00"
